Abbreviation,Meaning,Translation,More
N-MIA,N-methylimidazole acetaldehyde,,
N-MIAA,N-methylimidazole acetic acid,,
N/V,nausea or vomiting,,
Na,sodium,,
NABS,normal active bowel sounds,,
NAC,N-acetylcysteine,,
NAD,no active disease,,
NAD,no acute distress,,
NAFL,non‐alcoholic fatty liver,,
NAFLD,non‐alcoholic fatty liver disease,,
NAK,numb-associated kinase,,
nAMD,neovascular age-related macular degeneration,,
NAS,NAFLD Activity Score,,
NASH,nonalcoholic steatohepatitis,,
NAT,nucleic acid testing,,
NAT,non-accidental trauma,,
NBCCS,nevoid basal cell carcinoma syndrome,,
NBNB,"non-bloody, non-bilious",,
NBS,no bowel sounds,,
NBUVB,narrowband ultraviolet B,,
NC,nasal cannula,,
NCCAH,non-classical congenital adrenal hyperplasia,,
NCCN,National Comprehensive Cancer Network,,
NCI,National Cancer Institute,,
nCoV,Novel Coronavirus,,
NCP,nursing care plan,,
NCS,nerve conduction study,,
NCT,national clinical trial,,
NCV,Nerve Conduction Velocity,,
NEB,nebulizer,,https://en.wikipedia.org/wiki/Nebulizer
NED,no evidence of disease,,
NF,Nissen fundoplication,,https://en.wikipedia.org/wiki/Nissen_fundoplication
NF1,neurofibromatosis type 1,,
NG,nasogastric,,
NGS,next-generation sequencing,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3841808/
NGT,nasogastric tube,,
NHEJ,non-homologous end joining,,
NHL,non-Hodgkin's lymphoma,,
NIAAA,National Institute on Alcohol Abuse and Alcoholism,,
NICM,nonischemic cardiomyopathy,,
NICU,neonatal intensive care unit,,
NICVD,National Institute of Cardiovascular Diseases,,
NIDDM,non-insulin dependent diabetes mellitus,,
NIH,National Institutes of Health,,
NIHSS,National Institutes of Health stroke scale,,
NIPS,noninvasive prenatal screening,,
NIPT,noninvasive prenatal testing,,
NK,natural killer,,
NK,neurotrophic keratitis,,
NKA,no known allergies,,
NKDA,no known drug allergies,,
nl,normal,,
NLM,National Library of Medicine,,
NM,nonsense mutation,,
NMD,neurosurgery for mental disorder,,
NMDA,N-methyl-D-aspartate,,
NMH,N-methylhistamine,,
NMIBC,non-muscle invasive bladder cancer,,
NMO,Neuromyelitis Optica,,
NMR,nuclear magnetic resonance,,https://en.wikipedia.org/wiki/Nuclear_magnetic_resonance
NNIS,National Nosocomial Infection Surveillance System,,
NNT,numbers needed to treat,,
NOAC,non-vitamin K oral anticoagulants,,
NOM,nonoperative management,,
NOS,not otherwise specified,,
NPH,neutral protamine Hagedorn,,
NPH,Normal Pressure Hydrocephalus,,
NPN,non-protein nitrogen,,
NPO,nothing by mouth,,
NPPV,non-invasive positive pressure ventilation,,
NPV,negative predictive value,,
NPWT,negative pressure wound therapy,,
NRB,non-rebreather mask,,
NRI,net reclassification improvement,,
NS,Noonan Syndrome,,
NS,normal saline,,
NSAID,nonsteroidal antiinflammatory drug(s),,
NSCLC,non-small cell lung cancer,,
NSML,Noonan syndrome with multiple lentigines,,
NSQIP,National Surgical Quality Improvement Program,,
NSR,normal sinus rhythm,,
NST,Non-Stress Test,,
NSTEMI,non-ST elevation myocardial infarction,,
NSVT,non-sustained ventricular tachycardia,,
NT,non-tender,,
NT1,narcolepsy type 1,,
NTD,neural tube defect,,
NTG,nitroglycerin,,
NTM,nontuberculous mycobacteria,,
NVAF,non-valvular atrial fibrillation,,
NW,normal weight,,
NWB,non-weight bearing,,
NXG,Necrobiotic xanthogranuloma,,
NYHA,New York Heart Association,,
