Abbreviation,Meaning,Translation,More
P,pulse,,
P&A,percussion & auscultation,,
PA,periapical,,
PAC,premature atrial complexes,,
PACAP,pituitary adenylate cyclase-activating polypeptide,,
PACU,post anesthesia care unit,,
PAD,peripheral arterial disease,,
PAH,pulmonary arterial hypertension,,
PAH,predicted adult height,,
PAM,protospacer adjacent motif,,
PAMG-1,placental alpha microglobulin-1,,
PANDAS,Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcal Infections,,
PANS,Pediatric Acute-onset Neuropsychiatric Syndrome,,
PAOD,Peripheral Arterial Occlusive Disease,,
PAP,positive airway pressure,,
PAPR,Powered Air Purifying Respirator,,
PARDS,pediatric acute respiratory distress syndrome,,
PAS,personal assistance service(s),,
PAU,Penetrating Aortic Ulcer,,
PAWP,pulmonary arterial wedge pressure,,
PAWS,post-acute-withdrawal syndrome,,
PBC,primary biliary cholangitis,,
pBNP,NT-Pro B-Type Natriuretic Peptide,,
PBP,penicillin-binding protein,,
PBRT,proton beam radiation therapy,,
PBS,pencil-beam scanning,,https://en.wikipedia.org/wiki/Pencil-beam_scanning
PBS,phosphate-buffered saline,,
PBT,perioperative blood transfusion,,
PBT,proton beam therapy,,
PCA,patient controlled analgesia,,
PCA,personal care aide,,
PCA,Posterior Carotid Artery,,
PCa,prostate cancer,,
PCCM,Pediatric Critical Care Medicine,,
PCD,pneumatic compression device,,
PCDAI,Pediatric Crohn's Disease Activity Index,,
PCI,percutaneous coronary intervention,,
PCKD,polycystic kidney disease,,
PCL,posterior cruciate ligament,,
PCNL,Percutaneous Nephrolithotomy,,
PCNSL,primary central nervous system lymphoma,,
pCO2,partial pressure of carbon dioxide,,
PCOS,polycystic ovarian syndrome,,
PCP,pneumocystis pneumonia,,
PCP,primary care provider,,
PCR,polymerase chain reaction,,
PCR,pharyngeal constriction ratio,,
PCSK9,proprotein convertase subtilisin kexin 9,,
PCT,procalcitonin,,
PCU,progressive care unit,,
PD,postural drainage,,
PD,Parkinson's disease,,
PD,Peritoneal Dialysis,,
PD,pneumatic dilation,,
PD,progressive disease,,
