Abbreviation,Meaning,Translation,Wikipedia,Verified
C DIFF,Clostridium difficile,艰难梭菌,https://en.wikipedia.org/wiki/Clostridium_difficile,
C&S,culture and sensitivity,文化和敏感性,https://en.wikipedia.org/wiki/Antibiotic_sensitivity_testing,
C/B,complicated by,并发,,
C/O,complaint of,的抱怨,https://en.wikipedia.org/wiki/CO,
CA,calcium,钙,https://en.wikipedia.org/wiki/Calcium,
CA,cancer,癌症,https://en.wikipedia.org/wiki/Cancer,
CA,catheter ablation,导管消融,https://en.wikipedia.org/wiki/Catheter_ablation,
CA,chronological age,时间年代,https://en.wikipedia.org/wiki/CA,
CA-125,cancer antigen 125,癌抗原125,https://en.wikipedia.org/wiki/CA-125,
CAA,cerebral amyloid angiopathy,脑淀粉样血管病,https://en.wikipedia.org/wiki/Cerebral_amyloid_angiopathy,
CAB,coronary artery bypass,冠状动脉搭桥术,https://en.wikipedia.org/wiki/Coronary_artery_bypass_surgery,
CABG,coronary artery bypass graft,冠状动脉搭桥术,https://en.wikipedia.org/wiki/Coronary_artery_bypass_surgery,
CAD,coronary artery disease,冠状动脉疾病,https://en.wikipedia.org/wiki/Coronary_artery_disease,
CAD-3,three-vessel coronary artery disease,三支冠状动脉疾病,,
CADASIL,cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy,脑常染色体显性遗传性动脉病变伴皮质下梗死和白质脑病,https://en.wikipedia.org/wiki/CADASIL,
CAG,coronary angiography,冠状动脉造影,https://en.wikipedia.org/wiki/Coronary_catheterization,
CAH,chronic active hepatitis,慢性活动性肝炎,https://en.wikipedia.org/wiki/Hepatitis,
CAH,congenital adrenal hyperplasia,先天性肾上腺增生,https://en.wikipedia.org/wiki/Congenital_adrenal_hyperplasia,
CAP,College of American Pathologists,美国病理学家学院,https://en.wikipedia.org/wiki/College_of_American_Pathologists,
CAP,Competitive Acquisition Program,竞争性收购计划,https://en.wikipedia.org/wiki/CAP,
CAP,community acquired pneumonia,社区获得性肺炎,https://en.wikipedia.org/wiki/Community-acquired_pneumonia,
CAP,prostate cancer,前列腺癌,https://en.wikipedia.org/wiki/Prostate_cancer,
CAR-T,chimeric antigen receptor T-cell,嵌合抗原受体T细胞,https://en.wikipedia.org/wiki/Chimeric_antigen_receptor_T_cell,
CARS,Childhood Autism Rating Scale,儿童自闭症评分量表,https://en.wikipedia.org/wiki/Childhood_Autism_Rating_Scale,
CASL-2,"Comprehensive Assessment of Spoken Language, Second Edition",口语综合评估，第二版,,
CAT,computerized axial tomography,计算机轴向断层扫描,https://en.wikipedia.org/wiki/CT_scan,
CAV,cardiac allograft vasculopathy,心脏同种异体血管病变,https://en.wikipedia.org/wiki/Cardiac_allograft_vasculopathy,
CB,Concha bullosa,大耳甲,https://en.wikipedia.org/wiki/Concha_bullosa,
CB,compression bandaging,压缩包扎,https://en.wikipedia.org/wiki/CB,
CBC,complete blood count,全血细胞计数,https://en.wikipedia.org/wiki/Complete_blood_count,
CBCT,cone beam CT,锥形束CT,https://en.wikipedia.org/wiki/CBCT,
CBD,Common Bile Duct,普通胆管,https://en.wikipedia.org/wiki/CBD,
CBD,cannabidiol,大麻二酚,https://en.wikipedia.org/wiki/Cannabidiol,
CBF,cerebral blood flow,脑血流量,https://en.wikipedia.org/wiki/Cerebral_circulation#Physiology,
CBI,Catheter Based Intervention,基于导管的干预,https://en.wikipedia.org/wiki/CBI,
CBI,continuous bladder irrigation,连续膀胱冲洗,https://en.wikipedia.org/wiki/CBI,
CC,chief complaint,首席投诉,https://en.wikipedia.org/wiki/Presenting_problem,
CCA,C. difficile cytotoxicity assay,艰难梭菌细胞毒性测定,https://en.wikipedia.org/wiki/CCA,
CCC,complete concentric collapse,完全同心坍塌,https://en.wikipedia.org/wiki/CCC,
CCJ,craniocervical junction,颅颈交界处,https://en.wikipedia.org/wiki/CCJ,
CCK,cholecystokinin,胆囊收缩素,https://en.wikipedia.org/wiki/Cholecystokinin,
CCP,cardiac catheterization procedure,心脏导管插入术,https://en.wikipedia.org/wiki/CCP,
CCPDMA,complete circumferential peripheral and deep margin assessment,完整的外周和深缘评估,https://en.wikipedia.org/wiki/Complete_circumferential_peripheral_and_deep_margin_assessment,
CCR7,C-C chemokine receptor type 7,CC型趋化因子受体7型,https://en.wikipedia.org/wiki/C-C_chemokine_receptor_type_7,
CCRCC,clear cell renal cell carcinoma,透明细胞肾细胞癌,https://en.wikipedia.org/wiki/Clear_cell_renal_cell_carcinoma,
CCS grade,Canadian Cardiovascular Society grade,加拿大心血管学会等级,,
CCTA,coronary computed tomography angiography,冠状动脉计算机断层扫描血管造影,https://en.wikipedia.org/wiki/CCTA,
CCl4,carbon tetrachloride,四氯化碳,https://en.wikipedia.org/wiki/Carbon_tetrachloride,
CD,Crohn's disease,克罗恩病,https://en.wikipedia.org/wiki/Crohn%27s_disease,
CD4,cluster of differentiation 4,分化集群4,https://en.wikipedia.org/wiki/CD4,
CDAI,Crohn's disease activity index,克罗恩病活动指数,https://en.wikipedia.org/wiki/CDAI,
CDC,Centers for Disease Control and Prevention,疾病预防与控制中心,https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention,
CDDP,cisplatin,顺铂,https://en.wikipedia.org/wiki/Cisplatin,
CDEIS,Crohn’s disease index of severity,克罗恩病严重程度指数,,
CDH,chronic daily headache,慢性每日头痛,https://en.wikipedia.org/wiki/CDH,
CDH,congenital diaphragmatic hernia,先天性diaphragm肌疝,https://en.wikipedia.org/wiki/Congenital_diaphragmatic_hernia,
CDHIS,Crohn's Disease Histological Index of Severity,克罗恩病严重程度组织学指标,,
CDI,Clostridium difficile infection,艰难梭菌感染,https://en.wikipedia.org/wiki/Clostridioides_difficile_infection,
CDK,cyclin-dependent kinase,细胞周期蛋白依赖性激酶,https://en.wikipedia.org/wiki/Cyclin-dependent_kinase,
CDMR,Cesarean Delivery at Maternal Request,应产妇要求剖腹产,https://en.wikipedia.org/wiki/Caesarean_delivery_on_maternal_request,
CDP,contractile deceleration point,收缩减速点,https://en.wikipedia.org/wiki/CDP,
CDPAS,consumer directed personal assistance services,消费者导向的个人协助服务,,
CDR,complimentary-determining region,互补决定区,https://en.wikipedia.org/wiki/CDR,
CDT,carbohydrate‐deficient transferrin,缺乏碳水化合物的转铁蛋白,https://en.wikipedia.org/wiki/CDT,
CDT,complete decongestive therapy,完全去充血治疗,https://en.wikipedia.org/wiki/Lymphedema#Complete_decongestive_therapy,
CDVA,corrected distance visual acuity,矫正远视力,,
CEA,Carotid Endarterectomy,颈动脉内膜切除术,https://en.wikipedia.org/wiki/Carotid_endarterectomy,
CED,Cervical Endoscopic Discectomy,颈内镜椎间盘切除术,https://en.wikipedia.org/wiki/CED,
CED,Coverage with Evidence Development,证据发展的覆盖范围,https://en.wikipedia.org/wiki/CED,
CEUS,contrast-enhanced ultrasound,对比增强超声,https://en.wikipedia.org/wiki/Contrast-enhanced_ultrasound,
CF,cystic fibrosis,囊性纤维化,https://en.wikipedia.org/wiki/Cystic_fibrosis,
CFA,Common Femoral Artery,股总动脉,https://en.wikipedia.org/wiki/CFA,
CFC,cardio-facio-cutaneous syndrome,心脏-面部皮肤综合征,https://en.wikipedia.org/wiki/Cardiofaciocutaneous_syndrome,
CFCS,Communication Function Classification System,通讯功能分类系统,https://en.wikipedia.org/wiki/Communication_Function_Classification_System,
CFRD,Cystic Fibrosis Related Diabetes,囊性纤维化相关糖尿病,https://en.wikipedia.org/wiki/Dam#Concrete-face_rock-fill_dams,
CFTR,cystic fibrosis transmembrane conductance regulator,囊性纤维化跨膜电导调节剂,https://en.wikipedia.org/wiki/Cystic_fibrosis_transmembrane_conductance_regulator,
CFU,colony forming unit,菌落形成单位,https://en.wikipedia.org/wiki/Colony-forming_unit,
CFV,contractile front velocity,收缩前速度,https://en.wikipedia.org/wiki/Colorado_for_Family_Values,
CG,compression garment,压缩衣,https://en.wikipedia.org/wiki/Compression_garment,
CGH,comparative genomic hybridization,比较基因组杂交,https://en.wikipedia.org/wiki/Comparative_genomic_hybridization,
CGM,continuous glucose monitoring,连续血糖监测,https://en.wikipedia.org/wiki/Continuous_glucose_monitor,
CGMS,continuous glucose monitoring system,连续葡萄糖监测系统,https://en.wikipedia.org/wiki/CGMS-A,
CGRP,calcitonin gene-related peptide,降钙素基因相关肽,https://en.wikipedia.org/wiki/Calcitonin_gene-related_peptide,
CHA2DS2-VASc,"congestive heart failure, hypertension, age ≥ 75, diabetes mellitus, prior stroke or TIA or thromboembolism, vascular disease, age 65-74, sex category",充血性心力衰竭，高血压，≥75岁，糖尿病，先前中风或TIA或血栓栓塞，血管疾病，65-74岁，性别类别,https://en.wikipedia.org/wiki/CHA2DS2%E2%80%93VASc_score,
CHD,congenital heart disease,先天性心脏病,https://en.wikipedia.org/wiki/Congenital_heart_defect,
CHF,congestive heart failure,充血性心力衰竭,https://en.wikipedia.org/wiki/Heart_failure,
