Abbreviation,Meaning,Translation,Wikipedia,Verified
UA,urinalysis,尿液分析,https://en.wikipedia.org/wiki/Clinical_urine_tests,
UAE,uterine artery embolization,子宫动脉栓塞术,https://en.wikipedia.org/wiki/Uterine_artery_embolization,
UAS,Uniform Assessment System,统一评估系统,https://en.wikipedia.org/wiki/UAS,
UAS,upper airway stimulation,上呼吸道刺激,https://en.wikipedia.org/wiki/UAS,
UC,ulcerative colitis,溃疡性结肠炎,https://en.wikipedia.org/wiki/Ulcerative_colitis,
UCVA,uncorrected visual acuity,未矫正的视力,,
UCx,urine culture,尿培养,https://en.wikipedia.org/wiki/Bacteriuria#Diagnosis,
UDCA,Ursodeoxycholic Acid,熊去氧胆酸,https://en.wikipedia.org/wiki/UDCA,
UDS,urine drug screen,尿液筛查,https://en.wikipedia.org/wiki/Drug_test#Urine_drug_screen,
UDVA,uncorrected distance visual acuity,未矫正的远视力,,
UE,unplanned extubation,计划外拔管,https://en.wikipedia.org/wiki/Unplanned_extubation,
UF,ultrafiltration,超滤,https://en.wikipedia.org/wiki/Ultrafiltration,
UFE,uterine fibroid embolization,子宫肌瘤栓塞术,https://en.wikipedia.org/wiki/Uterine_artery_embolization,
UGI,upper gastrointestinal,上消化道,https://en.wikipedia.org/wiki/Ugi,
ULN,upper limits of normal,正常上限,https://en.wikipedia.org/wiki/ULN,
UM,uveal melanoma,葡萄膜黑色素瘤,https://en.wikipedia.org/wiki/Uveal_melanoma,
UNE,ulnar neuropathy at the elbow,肘部尺神经病变,https://en.wikipedia.org/wiki/UNE,
UNOS,United Network for Organ Sharing,器官共享联合网络,https://en.wikipedia.org/wiki/United_Network_for_Organ_Sharing,
UO,urinary output,尿量,https://en.wikipedia.org/wiki/Urination,
UPD,uniparental disomy,单亲二体性,https://en.wikipedia.org/wiki/Uniparental_disomy,
UPF,uvulopalatal flap,腓肠上睑皮瓣,https://en.wikipedia.org/wiki/UPF,
UPJ,Ureteropelvic Junction,骨盆交界处,https://en.wikipedia.org/wiki/UPJ,
UPPP,uvulopalatopharyngoplasty,葡萄膜上睑咽喉成形术,https://en.wikipedia.org/wiki/Uvulopalatopharyngoplasty,
URI,upper respiratory infection,上呼吸道感染,https://en.wikipedia.org/wiki/Upper_respiratory_tract_infection,
US,ultrasound,超音波,https://en.wikipedia.org/wiki/Ultrasound,
USOH,usual state of health,正常的健康状况,,
USPSTF,US Preventive Services Task Force,美国预防服务工作队,https://en.wikipedia.org/wiki/United_States_Preventive_Services_Task_Force,
UST,ustekinumab,乌斯替单抗,https://en.wikipedia.org/wiki/Ustekinumab,
UTI,urinary tract infection,尿路感染,https://en.wikipedia.org/wiki/Urinary_tract_infection,
UV,ultraviolet,紫外线,https://en.wikipedia.org/wiki/Ultraviolet,
uSAID,undifferentiated Systemic Autoinflammatory Disease,未分化的全身性自身炎性疾病,https://en.wikipedia.org/wiki/United_States_Agency_for_International_Development,
uSAID,undifferentiated Systemic Autoinflammatory Disease,未分化的全身性自身炎性疾病,https://en.wikipedia.org/wiki/United_States_Agency_for_International_Development,
upE,region upstream of the E gene,E基因上游区域,,
